Date,Question,URL,Sentiment
,Verificar Airpods,https://discussions.apple.comhttps://discussions.apple.com/thread/255896719,Neutral
2 hours ago,Left AirPod chirping during use,https://discussions.apple.comhttps://discussions.apple.com/thread/255896515,Neutral
,AirPods Pro right pod is not working,https://discussions.apple.comhttps://discussions.apple.com/thread/255896048,Positive
,Switching airpods max between my devices,https://discussions.apple.comhttps://discussions.apple.com/thread/255896573,Neutral
,Using AirPods Pro 2 on flights.,https://discussions.apple.comhttps://discussions.apple.com/thread/255896519,Neutral
,AirPods Max Noise Cancellation feature is not working,https://discussions.apple.comhttps://discussions.apple.com/thread/255896430,Neutral
,Can’t use my AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255896478,Neutral
,Battery and light issues with my right AirPod,https://discussions.apple.comhttps://discussions.apple.com/thread/255896058,Positive
10 hours ago,"Right EarPods does not work, despite making sound when putting in my ear.",https://discussions.apple.comhttps://discussions.apple.com/thread/255864165,Positive
,Airpods issue with PC,https://discussions.apple.comhttps://discussions.apple.com/thread/255896000,Neutral
,How can I prioritize my AirPods over other Bluetooth devices?,https://discussions.apple.comhttps://discussions.apple.com/thread/255893845,Negative
,What causes the flashing Orange/Amber light on AirPods?,https://discussions.apple.comhttps://discussions.apple.com/thread/255895337,Positive
,My AirPods are not announcing calls after iOS 18 update,https://discussions.apple.comhttps://discussions.apple.com/thread/255895501,Neutral
,Unexplained black dirt in AirPod case,https://discussions.apple.comhttps://discussions.apple.com/thread/255895942,Negative
13 hours ago,"Excessive Wind Noise in Right AirPod Only - New Device, Latest Firmware",https://discussions.apple.comhttps://discussions.apple.com/thread/255812258,Positive
16 hours ago,How do I track my lost AirPods 2?,https://discussions.apple.comhttps://discussions.apple.com/thread/255895825,Neutral
,airpod gen 4 case dying very fast,https://discussions.apple.comhttps://discussions.apple.com/thread/255895717,Positive
,Siri not working Apple airpods gen 2,https://discussions.apple.comhttps://discussions.apple.com/thread/255895452,Neutral
1 day ago,Issue with AirPods Pro 2 and iOS 18: Ringtone Volume Extremely Loud,https://discussions.apple.comhttps://discussions.apple.com/thread/255780891,Positive
1 day ago,AirPods 4 ANC - low call volume on MS Teams on Windows 11,https://discussions.apple.comhttps://discussions.apple.com/thread/255775544,Neutral
,AirPods Pro 2 new case sound,https://discussions.apple.comhttps://discussions.apple.com/thread/255895280,Positive
1 day ago,AirPods 4 with ANC not receiving calls on iPhone XS Max,https://discussions.apple.comhttps://discussions.apple.com/thread/255887053,Neutral
1 day ago,Can't hear my iPhone ringing through AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255889377,Neutral
1 day ago,My AirPods are stuck on transparency mode after the 18.1 update,https://discussions.apple.comhttps://discussions.apple.com/thread/255832792,Neutral
1 day ago,Locking AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255894551,Neutral
,AirPod pros stuck on low volume,https://discussions.apple.comhttps://discussions.apple.com/thread/255895216,Neutral
,Airpods case won’t turn on after being charged,https://discussions.apple.comhttps://discussions.apple.com/thread/255894943,Neutral
,What should I do if my AirPod 4 is not responding?,https://discussions.apple.comhttps://discussions.apple.com/thread/255894263,Neutral
,How to stop someone from connecting to my airpods,https://discussions.apple.comhttps://discussions.apple.com/thread/255894795,Neutral
1 day ago,Airpods Pro 2 noise cancellation worse after firmware update 7A294,https://discussions.apple.comhttps://discussions.apple.com/thread/255774193,Negative
1 day ago,"AirPods Pro 2 Hearing Test fails with ""Unable to classify due to background noise"" error.",https://discussions.apple.comhttps://discussions.apple.com/thread/255820811,Negative
,"The right side of my AirPods pro has a lot of static, whats wrong?",https://discussions.apple.comhttps://discussions.apple.com/thread/255894137,Positive
1 day ago,Missing AirPods 4 with active noise cancellation from Canada Apple Store delivery,https://discussions.apple.comhttps://discussions.apple.com/thread/255894406,Negative
,Airpod pros mic stopped working on facetime,https://discussions.apple.comhttps://discussions.apple.com/thread/255894476,Neutral
,My AirPods pro2 white flash blink continue blink no show my phone popup,https://discussions.apple.comhttps://discussions.apple.com/thread/255894425,Neutral
,AirPods only connect and remain connected in the case,https://discussions.apple.comhttps://discussions.apple.com/thread/255894237,Neutral
,AirPods Max - No sound in left ear,https://discussions.apple.comhttps://discussions.apple.com/thread/255893817,Negative
,AirPods charging sound persists despite device settings,https://discussions.apple.comhttps://discussions.apple.com/thread/255893616,Positive
,AirPods Pro unexpectedly disconnecting from Bluetooth,https://discussions.apple.comhttps://discussions.apple.com/thread/255893899,Positive
,AirPods Pro update required on iPhone 7,https://discussions.apple.comhttps://discussions.apple.com/thread/255894008,Neutral
,AirPods volume low after update,https://discussions.apple.comhttps://discussions.apple.com/thread/255893964,Neutral
1 day ago,Can I use an Equalizer app for custom sound on AirPods Pro 2?,https://discussions.apple.comhttps://discussions.apple.com/thread/255894334,Positive
,AirPods disconnect when removed from case,https://discussions.apple.comhttps://discussions.apple.com/thread/255894340,Neutral
1 day ago,Can’t play sound to locate lost AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/254968387,Positive
1 day ago,Настройка airpods не завершена. Некоторые функции недоступны. что с этим делать?,https://discussions.apple.comhttps://discussions.apple.com/thread/255892544,Neutral
1 day ago,Why do my AirPods Pro make Popping Noises?,https://discussions.apple.comhttps://discussions.apple.com/thread/255884775,Neutral
2 days ago,Right AirPod not working,https://discussions.apple.comhttps://discussions.apple.com/thread/255894229,Positive
,I’m unable to activate lost mode in my airpods,https://discussions.apple.comhttps://discussions.apple.com/thread/255893290,Negative
2 days ago,AirPods 3 disappeared from Find My after unauthorized connection,https://discussions.apple.comhttps://discussions.apple.com/thread/255892508,Neutral
,Airpods dissociate,https://discussions.apple.comhttps://discussions.apple.com/thread/255891461,Neutral
2 days ago,Does this also work with only the case?,https://discussions.apple.comhttps://discussions.apple.com/thread/255892480,Neutral
,AirPods making crackling sounds,https://discussions.apple.comhttps://discussions.apple.com/thread/255891465,Neutral
,Noise sound in right AirPod after insertion,https://discussions.apple.comhttps://discussions.apple.com/thread/255892242,Positive
,Lower volume of incoming ring without impacting the callers voice while on AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255892502,Neutral
,AirPods Pro 2 Noise Canceling volume increase after car passes,https://discussions.apple.comhttps://discussions.apple.com/thread/255892658,Neutral
,airpod max does not connect Bluetooth with iphone,https://discussions.apple.comhttps://discussions.apple.com/thread/255893158,Neutral
,"Airpod Max microphone issue; I can hear music, but when on phone calls the other person can not hear me.",https://discussions.apple.comhttps://discussions.apple.com/thread/255892925,Negative
,AirPods Gen 1 flashing green light and won’t pair,https://discussions.apple.comhttps://discussions.apple.com/thread/255893087,Positive
,airpod pro gen 1 unequal volume and clicking sounds,https://discussions.apple.comhttps://discussions.apple.com/thread/255893208,Neutral
2 days ago,AirPod Pro 2nd not playing sound from Amazon Kindle Audible books,https://discussions.apple.comhttps://discussions.apple.com/thread/255892638,Positive
,AirPods pro 2 hearing test Canada availability,https://discussions.apple.comhttps://discussions.apple.com/thread/255893950,Neutral
2 days ago,how or where I can buy apple airpod pro,https://discussions.apple.comhttps://discussions.apple.com/thread/255893738,Neutral
2 days ago,Are my AirPod Pro’s eligible for a refund or exchange?,https://discussions.apple.comhttps://discussions.apple.com/thread/255893653,Neutral
2 days ago,Пропала возможность отключения режима прозрачности и шумоподавления,https://discussions.apple.comhttps://discussions.apple.com/thread/255822166,Neutral
2 days ago,The case of the AirPods Pro 2 is not showing in the,https://discussions.apple.comhttps://discussions.apple.com/thread/255891509,Neutral
2 days ago,Apple Health shows Hearing Test Unavailable on MacBook Pro M1,https://discussions.apple.comhttps://discussions.apple.com/thread/255893161,Neutral
2 days ago,I found a pair of misplaced AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255892977,Negative
3 days ago,AirPods Pro Gen 2 low call volume on MS Teams on Windows 11,https://discussions.apple.comhttps://discussions.apple.com/thread/254924003,Neutral
3 days ago,Is it possible to buy a single AirPod from the Apple Store?,https://discussions.apple.comhttps://discussions.apple.com/thread/255892306,Negative
3 days ago,How to check if my AirPods Pro are fake?,https://discussions.apple.comhttps://discussions.apple.com/thread/255888628,Negative
,My AirPods keep falling out,https://discussions.apple.comhttps://discussions.apple.com/thread/255885924,Neutral
3 days ago,Apple Trade in for AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255887108,Neutral
3 days ago,"My iPhone shows ""Unknown Devices"" when trying to pair AirPods",https://discussions.apple.comhttps://discussions.apple.com/thread/255887273,Negative
3 days ago,Is the noise cancelling function in AirPods 4 the same as in AirPods Pro 2?,https://discussions.apple.comhttps://discussions.apple.com/thread/255889171,Neutral
3 days ago,How to safely remove stuck earpiece from AirPods 2?,https://discussions.apple.comhttps://discussions.apple.com/thread/255891891,Positive
3 days ago,Whistling sound in left AirPod 4,https://discussions.apple.comhttps://discussions.apple.com/thread/255891492,Positive
3 days ago,Hearing test option not showing up on Sequoia 15.1,https://discussions.apple.comhttps://discussions.apple.com/thread/255824740,Neutral
3 days ago,AirPods Pro won't connect nor display lights,https://discussions.apple.comhttps://discussions.apple.com/thread/255891871,Neutral
3 days ago,How can I improve the Transparency Mode on my AirPods?,https://discussions.apple.comhttps://discussions.apple.com/thread/255877696,Neutral
3 days ago,AirPods bought from Big W are not connecting to iPhone,https://discussions.apple.comhttps://discussions.apple.com/thread/255891703,Neutral
4 days ago,How can I identify fake AirPods?,https://discussions.apple.comhttps://discussions.apple.com/thread/255891549,Negative
4 days ago,Panasonic cordless phone not detecting AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255888603,Neutral
,Siri not responding on AirPods after iOS 18.2 update,https://discussions.apple.comhttps://discussions.apple.com/thread/255891355,Neutral
,AirPod warranty expire date,https://discussions.apple.comhttps://discussions.apple.com/thread/255891358,Neutral
4 days ago,How can I prevent incorrect notifications from Find My?,https://discussions.apple.comhttps://discussions.apple.com/thread/255889710,Neutral
,How do I charge my new AirPods 4? The case is charged.,https://discussions.apple.comhttps://discussions.apple.com/thread/255891141,Positive
4 days ago,Reconnecting airpod 3rd generation after replacing right side,https://discussions.apple.comhttps://discussions.apple.com/thread/255888566,Positive
4 days ago,AirPods firrmware not updating not connecting,https://discussions.apple.comhttps://discussions.apple.com/thread/255888472,Neutral
4 days ago,AirPods disappear from battery widget after lid is closed,https://discussions.apple.comhttps://discussions.apple.com/thread/255888571,Negative
4 days ago,My iPhone unable to verify AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255889562,Negative
4 days ago,Airpod pro need to renew apple care,https://discussions.apple.comhttps://discussions.apple.com/thread/255888891,Neutral
4 days ago,airpods pro 1st gen static in one ear,https://discussions.apple.comhttps://discussions.apple.com/thread/255889708,Positive
4 days ago,How to fix the Batteries Widget not showing AirPods Case Status?,https://discussions.apple.comhttps://discussions.apple.com/thread/255890141,Neutral
,Customizing audio settings for AirPods and Beats headphones,https://discussions.apple.comhttps://discussions.apple.com/thread/255890757,Neutral
,"В локаторе пишет, что настройка airpods не завершена и несоответствие airpods",https://discussions.apple.comhttps://discussions.apple.com/thread/255889186,Neutral
,AirPods causing connection problems,https://discussions.apple.comhttps://discussions.apple.com/thread/255888211,Neutral
,"is the airpods pro 2, mfg. On 11/2024",https://discussions.apple.comhttps://discussions.apple.com/thread/255890599,Neutral
,AirPods Max USB-C charging cable usage,https://discussions.apple.comhttps://discussions.apple.com/thread/255890237,Neutral
4 days ago,AirPods Pro (2nd gen) location not updating in Find My app,https://discussions.apple.comhttps://discussions.apple.com/thread/255889046,Neutral
,AirPods Max losing device connection history after replacement,https://discussions.apple.comhttps://discussions.apple.com/thread/255890132,Neutral
5 days ago,I dropped my AirPods and now they don’t work,https://discussions.apple.comhttps://discussions.apple.com/thread/255890053,Neutral
5 days ago,AirPods Pro 2 sound very glitchy,https://discussions.apple.comhttps://discussions.apple.com/thread/255889742,Positive
5 days ago,Airpods Setup Incomplete and Airpods Mismatch in Find My App,https://discussions.apple.comhttps://discussions.apple.com/thread/255849523,Neutral
5 days ago,AirPods location not updating after leaving home,https://discussions.apple.comhttps://discussions.apple.com/thread/255889623,Neutral
5 days ago,How do I track my lost AirPods?,https://discussions.apple.comhttps://discussions.apple.com/thread/255889541,Neutral
5 days ago,Replacement AirPods won’t connect to my case,https://discussions.apple.comhttps://discussions.apple.com/thread/255889844,Neutral
5 days ago,How do I block random airpod connection requests?,https://discussions.apple.comhttps://discussions.apple.com/thread/255889569,Negative
5 days ago,How to check if AirPods Pro 2 Lightning are Genuine,https://discussions.apple.comhttps://discussions.apple.com/thread/255888788,Positive
5 days ago,AirPods notifications not working,https://discussions.apple.comhttps://discussions.apple.com/thread/255889317,Neutral
5 days ago,Уведомление об обнаружении чужих AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255889227,Neutral
5 days ago,How do I disable opening noise on AirPods Pro 2,https://discussions.apple.comhttps://discussions.apple.com/thread/255889215,Neutral
5 days ago,How to verify AppleCare coverage for AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255889025,Neutral
6 days ago,After iOS 18.1 incoming call notifications are very low on Airpods Pro 2,https://discussions.apple.comhttps://discussions.apple.com/thread/255828766,Neutral
6 days ago,How to identify fake AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255888672,Negative
6 days ago,AirPods Max stuttering with Death Stranding on MacBook Pro and external display,https://discussions.apple.comhttps://discussions.apple.com/thread/255884807,Neutral
6 days ago,Airpod pro 2 doesnt work for pubg anymore after ios 18 update,https://discussions.apple.comhttps://discussions.apple.com/thread/255769309,Neutral
6 days ago,Dizziness and vertigo with AirPods noise cancellation,https://discussions.apple.comhttps://discussions.apple.com/thread/255887145,Neutral
6 days ago,Airpods not working properly,https://discussions.apple.comhttps://discussions.apple.com/thread/255840872,Neutral
,AirPods Pro 2 case make sounds intermittently and then stop,https://discussions.apple.comhttps://discussions.apple.com/thread/255887557,Neutral
6 days ago,Hearing pods cutting out during use on iPhone,https://discussions.apple.comhttps://discussions.apple.com/thread/255888046,Negative
6 days ago,How can I stop the return process for my AirPods 4?,https://discussions.apple.comhttps://discussions.apple.com/thread/255888011,Neutral
6 days ago,AirPods Pro 2 not ringing for incoming calls,https://discussions.apple.comhttps://discussions.apple.com/thread/255888042,Neutral
6 days ago,AirPod FindMy volume too low,https://discussions.apple.comhttps://discussions.apple.com/thread/255887786,Neutral
1 week ago,why wont my airpod pros generation 2 work when the case dies?,https://discussions.apple.comhttps://discussions.apple.com/thread/255887409,Neutral
1 week ago,AirPods not transmitting audio during phone calls on iPhone 15 Pro Max,https://discussions.apple.comhttps://discussions.apple.com/thread/255885286,Neutral
,airpods - connect to this iphone settings,https://discussions.apple.comhttps://discussions.apple.com/thread/255885531,Neutral
1 week ago,How to FULLY stop AirPods from automatically connecting to Mac.,https://discussions.apple.comhttps://discussions.apple.com/thread/254782773,Neutral
1 week ago,Right Airpod Fails When Outdoors,https://discussions.apple.comhttps://discussions.apple.com/thread/255886042,Negative
1 week ago,AirPods connection issues after iOS 18 Update,https://discussions.apple.comhttps://discussions.apple.com/thread/255758915,Neutral
1 week ago,airpods pop up didn’t showed up in ios 18.2,https://discussions.apple.comhttps://discussions.apple.com/thread/255886987,Neutral
1 week ago,Airpods Max USB C Headband Detachment Issue,https://discussions.apple.comhttps://discussions.apple.com/thread/255885913,Neutral
1 week ago,Comparing AirPods Trim Levels: Best and Highest Quality,https://discussions.apple.comhttps://discussions.apple.com/thread/255886508,Positive
1 week ago,AirPods Pro 2 making clicking sounds,https://discussions.apple.comhttps://discussions.apple.com/thread/255885314,Neutral
1 week ago,apple still hasn't processed my order,https://discussions.apple.comhttps://discussions.apple.com/thread/255886293,Neutral
1 week ago,Not receiving low battery notifications on AirPod Pro anymore,https://discussions.apple.comhttps://discussions.apple.com/thread/255885712,Neutral
1 week ago,airpods pro 2 gen are turning off by them selfs in transparency mode,https://discussions.apple.comhttps://discussions.apple.com/thread/255885517,Neutral
1 week ago,airpods kayıp,https://discussions.apple.comhttps://discussions.apple.com/thread/255885378,Neutral
1 week ago,AirPod Pro Hearing Protection Gun Range,https://discussions.apple.comhttps://discussions.apple.com/thread/255885206,Neutral
1 week ago,Unable to use the Precision Finding feature with my AirPods Pro 2,https://discussions.apple.comhttps://discussions.apple.com/thread/255885209,Negative
1 week ago,charging tips for 2024 airpod pros now have a black residue?,https://discussions.apple.comhttps://discussions.apple.com/thread/255885159,Negative
1 week ago,i can not retest my hearing with my new airpod prod,https://discussions.apple.comhttps://discussions.apple.com/thread/255885148,Positive
1 week ago,How to track my AirPods Pro?,https://discussions.apple.comhttps://discussions.apple.com/thread/255885395,Neutral
1 week ago,Why can't I control AirPods volume on Apple TV?,https://discussions.apple.comhttps://discussions.apple.com/thread/255884593,Neutral
1 week ago,How do I order a new charging case for my AirPods Pro 2?,https://discussions.apple.comhttps://discussions.apple.com/thread/255884661,Positive
1 week ago,AirPods 4 sound extremely quiet on Zoom and Teams,https://discussions.apple.comhttps://discussions.apple.com/thread/255787838,Positive
,левый наушник в режиме прозрачности тише чем правый,https://discussions.apple.comhttps://discussions.apple.com/thread/255884944,Neutral
,AirPods and AirPod case not charging or connecting,https://discussions.apple.comhttps://discussions.apple.com/thread/255883726,Neutral
,Permanently disable adaptive transparency mode on AirPods Pro 2,https://discussions.apple.comhttps://discussions.apple.com/thread/255883051,Neutral
,AirPods Silent When Switching to Mac Manually,https://discussions.apple.comhttps://discussions.apple.com/thread/255883751,Neutral
,"My usual sound on my headphones has disappeared, I only have noise cancellation and adaptive sound",https://discussions.apple.comhttps://discussions.apple.com/thread/255883812,Positive
1 week ago,do Argos sell fake usb c airpods pro 2?,https://discussions.apple.comhttps://discussions.apple.com/thread/255882058,Negative
1 week ago,Why do my AirPods 4 sound low during Teams calls?,https://discussions.apple.comhttps://discussions.apple.com/thread/255785254,Positive
1 week ago,Why is the sound glitching to my airpod maxs if i just got them a week ago,https://discussions.apple.comhttps://discussions.apple.com/thread/255883847,Positive
1 week ago,How do I remove AirPods from my iPhone device list?,https://discussions.apple.comhttps://discussions.apple.com/thread/255878311,Neutral
1 week ago,Why do my AirPods switch to my Mac automatically?,https://discussions.apple.comhttps://discussions.apple.com/thread/255881292,Neutral
1 week ago,Airpods STILL connecting while in the case,https://discussions.apple.comhttps://discussions.apple.com/thread/255884428,Neutral
1 week ago,AirPods not connecting to new iPhone 15 Pro Max,https://discussions.apple.comhttps://discussions.apple.com/thread/255882132,Positive
1 week ago,What does a Flashing Amber light mean on AirPods Pro?,https://discussions.apple.comhttps://discussions.apple.com/thread/255805139,Positive
1 week ago,Do you use your AirPods during exercise?,https://discussions.apple.comhttps://discussions.apple.com/thread/255883167,Neutral
1 week ago,AirPods Pro 2 no Sound with Samsung TV -,https://discussions.apple.comhttps://discussions.apple.com/thread/254230766,Negative
1 week ago,the hearing aid settings won't come up in my AirPods settings,https://discussions.apple.comhttps://discussions.apple.com/thread/255883943,Neutral
1 week ago,Airpod Max’s keep disconnecting and glitches,https://discussions.apple.comhttps://discussions.apple.com/thread/255884029,Neutral
1 week ago,How to disable Hearing Aid features on AirPods?,https://discussions.apple.comhttps://discussions.apple.com/thread/255883139,Neutral
1 week ago,AirPods Pro High Pitched Noise,https://discussions.apple.comhttps://discussions.apple.com/thread/250881984,Positive
1 week ago,Airpod touch controls (except noise cancellation) don't work,https://discussions.apple.comhttps://discussions.apple.com/thread/255883248,Neutral
1 week ago,AirPods pro snap to half volume after connecting to the Mac,https://discussions.apple.comhttps://discussions.apple.com/thread/255883388,Negative
1 week ago,Charger case compatibility for AirPods,https://discussions.apple.comhttps://discussions.apple.com/thread/255883036,Neutral
1 week ago,High Frequency 'snap' with Airpods Pro,https://discussions.apple.comhttps://discussions.apple.com/thread/255883291,Positive
1 week ago,"AirPods Pro 2 hearing test ""error has occurred""",https://discussions.apple.comhttps://discussions.apple.com/thread/255824840,Neutral
1 week ago,Broken right AirPod sound on iPods pro,https://discussions.apple.comhttps://discussions.apple.com/thread/255883223,Positive
1 week ago,Tinnitus and AirPod use. Does it go away with discontinued use?,https://discussions.apple.comhttps://discussions.apple.com/thread/255883144,Neutral
1 week ago,How to check AirPods serial number - Real or Fake?,https://discussions.apple.comhttps://discussions.apple.com/thread/254709554,Negative
1 week ago,AirPods Pro 2 vs. AirPods Pro?,https://discussions.apple.comhttps://discussions.apple.com/thread/255754312,Neutral
1 week ago,AirPod Pro Gen 2 and Kindle - not working,https://discussions.apple.comhttps://discussions.apple.com/thread/255870222,Neutral
